neighborhood,year,month,incident_type,response_min
Riverdale,2022,5,Medical,10.23
Grand Boulevard,2024,9,Police,8.94
Kenwood,2024,3,Medical,10.19
Auburn Gresham,2020,8,Medical,11.2
West Englewood,2022,6,Police,10.64
Mount Greenwood,2020,12,Police,12.95
Douglas,2022,8,Police,10.9
Woodlawn,2021,2,Fire,11.73
West Englewood,2021,9,Medical,12.86
Rogers Park,2021,1,Medical,14.45
West Englewood,2021,3,Police,14.09
Auburn Gresham,2021,4,Police,5.03
Humboldt Park,2023,6,Medical,5.92
Uptown,2020,11,Police,8.05
Rogers Park,2024,4,Medical,8.07
Lake View,2021,11,Medical,5.76
Hyde Park,2023,2,Fire,7.34
Humboldt Park,2023,3,Police,10.5
Washington Heights,2020,3,Medical,6.68
Woodlawn,2020,6,Police,16.96
Jefferson Park,2022,5,Medical,7.27
West Town,2022,5,Medical,4.47
West Town,2021,11,Medical,8.96
Hyde Park,2019,4,Medical,4.97
Logan Square,2022,4,Medical,7.06
West Pullman,2019,9,Fire,9.67
Washington Heights,2024,7,Medical,8.75
West Pullman,2022,12,Medical,6.51
Lincoln Square,2024,8,Medical,3.86
Roseland,2023,4,Medical,12.11
Auburn Gresham,2023,11,Police,10.93
Grand Boulevard,2024,3,Police,12.36
Washington Heights,2023,1,Police,11.85
West Town,2024,9,Medical,6.17
Chatham,2019,9,Police,12.05
Greater Grand Crossing,2021,2,Police,11.53
Logan Square,2024,4,Medical,8.09
West Pullman,2022,4,Fire,7.8
Near North Side,2022,12,Police,5.94
Douglas,2019,1,Medical,10.02
South Shore,2024,12,Medical,8.61
West Ridge,2023,2,Medical,8.48
Lincoln Park,2021,8,Medical,7.29
South Shore,2022,6,Medical,9.44
South Shore,2021,1,Police,10.98
Loop,2021,7,Fire,3.64
Roseland,2020,11,Medical,9.78
Portage Park,2021,7,Medical,8.82
South Shore,2024,6,Police,12.48
Washington Park,2020,11,Police,9.22
Washington Heights,2019,8,Fire,8.85
Riverdale,2023,11,Police,11.46
Rogers Park,2020,12,Medical,6.89
Woodlawn,2021,5,Police,8.85
Logan Square,2023,2,Medical,9.54
Morgan Park,2021,4,Police,9.33
Uptown,2021,11,Police,11.03
Washington Heights,2020,8,Police,12.24
Lincoln Park,2019,8,Medical,3.48
Edison Park,2021,12,Police,9.11
Woodlawn,2024,5,Medical,10.68
Jefferson Park,2020,6,Fire,6.45
Auburn Gresham,2024,9,Police,10.42
Riverdale,2024,10,Police,14.59
Kenwood,2021,10,Fire,12.78
West Town,2024,10,Medical,10.42
West Pullman,2023,11,Police,9.8
West Pullman,2019,11,Police,7.83
Kenwood,2021,2,Medical,7.92
Morgan Park,2024,5,Police,8.19
Irving Park,2019,9,Police,7.36
Washington Heights,2019,3,Fire,8.83
West Ridge,2023,6,Medical,10.53
Uptown,2023,4,Police,6.73
Auburn Gresham,2022,4,Medical,8.2
West Garfield Park,2019,3,Police,13.73
West Ridge,2021,10,Medical,8.5
West Ridge,2023,1,Police,8.97
South Shore,2021,12,Police,10.14
Grand Boulevard,2019,11,Police,7.74
Auburn Gresham,2023,8,Medical,7.57
West Pullman,2022,5,Police,8.31
Riverdale,2019,2,Fire,13.03
Rogers Park,2021,1,Medical,8.36
Near West Side,2022,1,Police,6.31
West Ridge,2019,4,Medical,11.16
Hyde Park,2023,4,Fire,6.31
West Pullman,2024,6,Medical,3.35
Lincoln Park,2019,11,Police,6.68
West Pullman,2020,7,Medical,5.48
Lincoln Square,2021,1,Police,13.98
Portage Park,2023,10,Fire,9.23
West Garfield Park,2023,2,Fire,8.13
Beverly,2020,3,Medical,7.65
Kenwood,2024,9,Medical,11.19
Lake View,2022,4,Police,4.41
Englewood,2023,6,Medical,10.94
Lincoln Park,2022,2,Medical,4.06
Douglas,2022,11,Police,8.45
Portage Park,2022,2,Medical,10.91
Austin,2024,2,Medical,10.1
Riverdale,2019,11,Police,9.13
Jefferson Park,2020,5,Medical,13.24
Lincoln Park,2021,9,Fire,3.63
Austin,2020,6,Medical,6.87
Chatham,2023,9,Police,8.73
Uptown,2020,6,Medical,4.63
Loop,2021,9,Police,8.91
Greater Grand Crossing,2019,5,Fire,8.72
Near West Side,2023,11,Police,9.52
Hyde Park,2019,12,Medical,7.01
Uptown,2023,1,Medical,6.68
Near West Side,2021,6,Police,9.69
Loop,2019,4,Police,5.73
West Pullman,2021,9,Police,9.27
Near North Side,2021,6,Medical,5.6
Morgan Park,2024,1,Fire,9.5
Riverdale,2020,6,Medical,11.38
Mount Greenwood,2023,3,Police,10.54
Washington Heights,2022,3,Medical,11.81
North Lawndale,2022,7,Police,11.18
Mount Greenwood,2019,2,Police,5.71
Rogers Park,2021,9,Police,11.66
Portage Park,2020,9,Medical,9.26
South Shore,2023,7,Medical,10.23
Washington Park,2019,9,Medical,6.81
Grand Boulevard,2021,11,Medical,11.42
Pullman,2024,6,Police,11.84
Roseland,2022,9,Fire,6.73
West Englewood,2022,10,Medical,11.39
Near North Side,2023,2,Medical,5.39
Austin,2023,5,Fire,9.4
Hyde Park,2023,11,Police,3.39
West Ridge,2019,6,Medical,13.54
Rogers Park,2023,12,Medical,6.21
Irving Park,2019,6,Fire,11.31
Lake View,2020,11,Medical,6.27
Auburn Gresham,2021,4,Police,8.21
West Pullman,2022,4,Medical,8.25
Jefferson Park,2019,5,Medical,8.48
Morgan Park,2021,6,Police,6.81
West Englewood,2024,12,Medical,15.59
Near West Side,2023,8,Medical,7.51
Austin,2022,12,Police,9.96
Uptown,2024,10,Fire,7.13
Loop,2019,1,Medical,3.3
Kenwood,2023,8,Medical,8.57
Riverdale,2021,2,Medical,9.7
Kenwood,2020,11,Police,6.93
Portage Park,2021,7,Fire,9.29
Edison Park,2019,4,Medical,5.47
Greater Grand Crossing,2020,8,Police,18.22
Beverly,2020,6,Medical,9.13
Mount Greenwood,2023,5,Police,4.85
Loop,2021,10,Medical,2.04
West Englewood,2019,10,Medical,9.07
Washington Park,2024,5,Police,9.44
West Englewood,2024,4,Police,15.47
Washington Park,2020,3,Medical,9.26
Chatham,2023,3,Police,11.64
North Lawndale,2024,3,Police,15.04
North Lawndale,2020,7,Police,15.66
West Ridge,2021,8,Police,12.81
West Englewood,2024,8,Police,9.0
Austin,2022,2,Police,10.1
Morgan Park,2019,3,Medical,9.08
Greater Grand Crossing,2022,2,Fire,8.94
Riverdale,2021,6,Police,14.82
Lincoln Square,2022,11,Medical,9.87
Riverdale,2021,3,Fire,13.18
Humboldt Park,2021,6,Police,9.42
Near South Side,2023,4,Medical,8.76
Loop,2022,12,Medical,3.81
Edison Park,2020,10,Medical,3.53
Near North Side,2021,10,Fire,5.36
Uptown,2022,6,Police,9.75
West Garfield Park,2020,3,Medical,8.98
Riverdale,2019,5,Medical,7.02
Irving Park,2020,8,Medical,7.26
Douglas,2022,3,Police,10.79
Douglas,2022,9,Fire,13.64
Roseland,2020,9,Police,8.37
Beverly,2020,7,Police,9.3
Beverly,2024,8,Medical,8.6
Edison Park,2021,9,Police,7.1
Woodlawn,2022,1,Police,7.37
Woodlawn,2021,7,Police,7.35
Englewood,2021,10,Medical,7.55
Near South Side,2019,3,Medical,6.94
Roseland,2022,6,Police,13.84
Riverdale,2021,9,Police,10.75
South Shore,2019,12,Medical,9.74
Riverdale,2024,10,Medical,8.8
Lake View,2021,11,Police,7.4
Near West Side,2021,8,Police,11.72
Lincoln Square,2024,2,Medical,7.53
West Englewood,2022,4,Fire,10.74
West Garfield Park,2020,11,Police,10.23
South Shore,2024,5,Police,11.4
Roseland,2020,10,Medical,10.32
Chatham,2022,6,Medical,6.84
Lincoln Park,2020,7,Medical,6.93
West Englewood,2023,11,Police,12.16
Morgan Park,2020,4,Police,8.97
Auburn Gresham,2024,4,Police,15.04
Kenwood,2021,5,Medical,8.02
Chatham,2021,9,Medical,10.25
Pullman,2019,9,Police,9.36
West Englewood,2024,1,Medical,5.34
Riverdale,2022,5,Police,13.17
Near South Side,2019,5,Police,9.14
West Pullman,2021,7,Medical,10.71
Grand Boulevard,2021,8,Police,9.88
Riverdale,2019,3,Police,12.96
Uptown,2024,1,Medical,9.62
North Lawndale,2023,2,Medical,8.37
Washington Park,2020,6,Police,8.94
Pullman,2023,11,Medical,7.87
Uptown,2023,6,Medical,11.91
Mount Greenwood,2023,11,Police,7.92
Kenwood,2024,5,Medical,6.82
West Pullman,2023,11,Police,11.61
Douglas,2020,5,Medical,6.58
Grand Boulevard,2022,9,Medical,11.18
West Ridge,2019,11,Medical,8.53
Woodlawn,2023,7,Police,13.51
West Ridge,2023,6,Medical,9.42
Hyde Park,2019,11,Police,5.76
West Garfield Park,2019,7,Medical,11.9
Mount Greenwood,2022,3,Police,5.4
Riverdale,2021,7,Medical,11.1
Jefferson Park,2022,3,Fire,10.18
Washington Heights,2021,8,Police,6.14
Chatham,2024,10,Police,12.2
Hyde Park,2020,10,Fire,6.95
West Englewood,2022,9,Police,9.57
Washington Park,2020,3,Fire,12.61
Kenwood,2019,7,Medical,7.94
Logan Square,2022,8,Police,11.39
Near North Side,2024,3,Police,2.71
Greater Grand Crossing,2019,6,Police,10.77
Loop,2024,7,Medical,9.49
Rogers Park,2024,4,Police,6.5
Edison Park,2023,6,Police,5.37
Austin,2019,7,Medical,9.04
Humboldt Park,2024,12,Medical,6.59
Irving Park,2023,7,Medical,5.8
Grand Boulevard,2021,11,Medical,12.85
West Town,2023,1,Police,12.97
South Shore,2021,2,Medical,13.52
Englewood,2023,11,Medical,9.23
West Ridge,2023,11,Medical,11.69
West Pullman,2020,1,Medical,8.17
Grand Boulevard,2020,9,Police,10.9
Douglas,2019,12,Medical,10.35
Washington Park,2024,7,Medical,10.75
Douglas,2020,11,Police,10.28
Douglas,2021,7,Police,14.65
Lincoln Park,2020,3,Police,4.76
West Town,2019,5,Medical,7.87
Auburn Gresham,2022,2,Medical,9.95
Riverdale,2021,5,Police,12.55
Edison Park,2022,8,Police,4.39
Lake View,2021,10,Medical,4.63
Washington Heights,2024,3,Medical,8.48
Lincoln Square,2024,4,Police,7.43
Lincoln Park,2024,8,Police,8.0
West Pullman,2019,2,Police,10.04
Roseland,2020,1,Police,16.76
West Englewood,2022,3,Fire,13.71
Mount Greenwood,2022,2,Police,10.64
Austin,2020,10,Police,10.94
Logan Square,2019,2,Medical,11.21
Roseland,2020,4,Medical,9.3
Near West Side,2023,6,Police,8.27
West Garfield Park,2023,10,Police,10.83
Near West Side,2024,10,Fire,9.53
South Shore,2023,5,Medical,6.45
Hyde Park,2022,4,Fire,3.79
Auburn Gresham,2024,8,Police,7.2
Hyde Park,2022,11,Medical,2.13
Grand Boulevard,2019,5,Police,10.39
Jefferson Park,2021,2,Fire,6.83
Irving Park,2020,4,Fire,5.61
Rogers Park,2021,7,Medical,6.97
Rogers Park,2022,4,Police,9.0
Englewood,2020,6,Medical,10.8
West Pullman,2022,2,Police,12.19
Washington Park,2019,9,Medical,12.27
Mount Greenwood,2024,4,Police,11.41
Rogers Park,2020,1,Police,11.56
Austin,2022,3,Medical,10.86
Washington Heights,2023,7,Medical,6.44
Lake View,2023,10,Police,3.36
Douglas,2022,9,Fire,13.16
Chatham,2021,6,Police,12.31
Uptown,2024,4,Medical,9.73
Irving Park,2019,2,Police,8.37
Hyde Park,2019,9,Medical,5.72
Austin,2022,12,Police,11.23
Auburn Gresham,2019,8,Police,5.82
Douglas,2020,7,Fire,7.39
Chatham,2019,2,Police,9.45
Humboldt Park,2023,2,Police,9.18
South Shore,2022,8,Police,7.37
Lake View,2020,9,Fire,4.03
Roseland,2019,9,Fire,11.53
Lake View,2023,8,Medical,5.85
Irving Park,2024,1,Medical,10.28
Austin,2021,5,Fire,7.21
Hyde Park,2019,7,Medical,6.5
Hyde Park,2023,10,Medical,6.5
Near South Side,2024,6,Medical,8.3
Washington Heights,2024,11,Medical,8.82
Greater Grand Crossing,2023,12,Fire,9.05
Riverdale,2023,1,Police,9.26
Roseland,2023,10,Police,12.59
Auburn Gresham,2021,6,Fire,12.46
Grand Boulevard,2022,4,Fire,10.67
Albany Park,2023,3,Fire,17.5
Lake View,2022,4,Medical,7.54
Greater Grand Crossing,2024,8,Police,7.68
Englewood,2021,11,Police,8.21
Pullman,2024,6,Medical,7.15
Albany Park,2021,9,Police,11.29
Near West Side,2024,5,Police,10.34
West Pullman,2020,11,Fire,7.97
Rogers Park,2020,9,Medical,11.05
Lake View,2023,4,Medical,8.29
Lincoln Square,2022,12,Medical,11.69
Austin,2024,4,Medical,8.26
Kenwood,2021,6,Medical,6.16
Austin,2019,10,Fire,7.28
West Ridge,2020,11,Medical,6.05
South Shore,2020,7,Police,10.69
West Pullman,2024,2,Medical,9.07
Woodlawn,2019,4,Medical,8.41
Loop,2022,8,Medical,4.76
Kenwood,2022,9,Fire,10.68
Irving Park,2022,5,Medical,10.67
West Englewood,2023,6,Medical,8.22
Riverdale,2023,10,Medical,9.83
Riverdale,2024,12,Medical,10.38
Auburn Gresham,2019,7,Police,9.86
Irving Park,2024,7,Police,10.04
Uptown,2021,3,Police,12.1
Rogers Park,2019,2,Police,9.93
Riverdale,2021,10,Police,12.07
Mount Greenwood,2019,8,Medical,6.96
Albany Park,2023,9,Fire,9.9
Chatham,2022,11,Medical,7.62
Logan Square,2020,8,Medical,9.69
Irving Park,2019,8,Police,11.84
Pullman,2019,2,Police,10.69
West Ridge,2020,11,Medical,7.87
West Englewood,2019,4,Police,9.68
Grand Boulevard,2022,6,Police,12.83
West Garfield Park,2024,8,Medical,7.53
Hyde Park,2020,2,Police,7.97
Edison Park,2020,12,Police,8.18
Chatham,2022,8,Medical,8.16
Hyde Park,2022,1,Medical,4.55
Albany Park,2020,11,Police,10.75
Hyde Park,2022,6,Medical,7.3
Englewood,2024,8,Police,11.13
Morgan Park,2022,8,Police,12.87
Near North Side,2024,12,Fire,5.38
Lincoln Square,2022,11,Medical,6.95
Portage Park,2020,7,Medical,3.2
Chatham,2019,7,Police,9.86
Greater Grand Crossing,2021,11,Fire,11.99
Washington Park,2020,10,Medical,6.45
Near South Side,2021,11,Police,11.86
Greater Grand Crossing,2022,12,Police,8.07
Albany Park,2022,9,Medical,7.45
Auburn Gresham,2019,2,Police,13.26
Jefferson Park,2022,1,Police,7.13
Kenwood,2021,12,Police,10.49
West Englewood,2020,2,Medical,8.11
West Englewood,2020,3,Medical,11.79
Greater Grand Crossing,2024,9,Fire,9.13
North Lawndale,2019,10,Medical,8.86
Washington Heights,2021,7,Police,10.15
West Pullman,2022,5,Medical,13.3
Kenwood,2023,5,Medical,9.8
Grand Boulevard,2019,6,Fire,8.45
West Pullman,2019,2,Medical,9.02
Auburn Gresham,2023,1,Medical,6.86
Irving Park,2020,11,Medical,12.7
Logan Square,2024,1,Medical,7.72
Grand Boulevard,2020,3,Medical,13.74
Washington Park,2020,1,Police,11.31
West Englewood,2023,9,Police,14.85
Morgan Park,2022,10,Fire,13.87
Roseland,2022,5,Medical,7.74
West Garfield Park,2024,9,Fire,9.81
Loop,2024,5,Police,5.39
Washington Park,2021,1,Police,14.2
Douglas,2021,11,Medical,13.27
Logan Square,2020,12,Police,17.7
Near West Side,2023,7,Police,13.44
Greater Grand Crossing,2024,7,Medical,7.48
Irving Park,2019,4,Fire,9.44
Morgan Park,2022,3,Police,8.03
Near West Side,2023,1,Medical,7.57
Irving Park,2024,7,Medical,10.87
Jefferson Park,2021,5,Police,11.48
Near North Side,2024,10,Police,2.79
South Shore,2022,1,Police,11.32
Humboldt Park,2024,1,Medical,9.05
Pullman,2022,3,Police,7.17
Near West Side,2023,3,Police,7.38
Austin,2024,2,Police,6.79
Lake View,2024,8,Police,3.0
West Englewood,2021,12,Medical,8.32
Irving Park,2023,8,Police,11.42
Washington Park,2019,6,Fire,11.14
Near South Side,2022,5,Medical,10.91
Greater Grand Crossing,2023,6,Police,10.79
Grand Boulevard,2023,1,Police,8.95
Austin,2019,2,Fire,9.6
Washington Heights,2023,7,Police,11.04
Washington Heights,2022,1,Fire,4.95
Humboldt Park,2020,8,Medical,16.8
Pullman,2020,3,Medical,5.79
Lake View,2021,4,Police,7.47
West Englewood,2019,7,Medical,8.96
Grand Boulevard,2021,10,Fire,6.93
Chatham,2020,7,Medical,11.55
Portage Park,2019,2,Medical,8.13
North Lawndale,2023,5,Medical,7.4
Irving Park,2023,8,Police,7.8
Jefferson Park,2022,9,Medical,9.52
Albany Park,2024,5,Fire,6.4
West Garfield Park,2020,2,Fire,10.97
Beverly,2023,4,Fire,5.26
Near North Side,2019,11,Police,4.96
Logan Square,2024,5,Police,7.62
Mount Greenwood,2024,6,Medical,6.35
Jefferson Park,2023,12,Police,12.62
Woodlawn,2021,6,Fire,10.67
West Ridge,2021,12,Police,8.2
Lake View,2021,1,Police,6.62
Chatham,2024,6,Medical,10.31
Auburn Gresham,2021,11,Police,9.78
Beverly,2021,10,Police,11.34
Near West Side,2024,1,Medical,6.56
Edison Park,2022,5,Medical,7.54
Rogers Park,2021,11,Medical,14.4
Douglas,2022,7,Medical,6.28
West Garfield Park,2022,8,Police,10.41
Near North Side,2023,11,Medical,5.3
Washington Park,2024,11,Police,9.18
Lincoln Square,2019,5,Fire,10.91
Greater Grand Crossing,2021,2,Fire,10.86
Lincoln Park,2019,3,Police,3.53
Pullman,2020,12,Medical,9.77
Near West Side,2022,7,Medical,5.73
Washington Heights,2020,10,Medical,12.38
Woodlawn,2022,4,Medical,12.36
Albany Park,2021,1,Police,8.94
Hyde Park,2020,3,Medical,3.27
Near West Side,2024,10,Police,9.8
Washington Heights,2023,2,Police,9.15
Uptown,2020,9,Medical,7.44
Logan Square,2022,1,Medical,9.63
South Shore,2024,9,Fire,12.5
Loop,2022,10,Police,4.32
South Shore,2019,5,Police,8.8
Edison Park,2020,12,Medical,8.07
Morgan Park,2023,6,Medical,6.18
Washington Heights,2021,6,Medical,6.68
Rogers Park,2019,12,Medical,11.39
Uptown,2020,6,Fire,9.97
Logan Square,2019,9,Police,9.1
South Shore,2020,9,Medical,11.18
Washington Park,2021,11,Medical,8.23
Riverdale,2021,10,Police,11.72
Beverly,2023,7,Police,11.75
Lincoln Park,2019,3,Fire,6.21
West Pullman,2023,7,Police,10.72
Near South Side,2020,5,Medical,7.45
Austin,2021,9,Police,7.87
Near South Side,2021,8,Police,7.16
Portage Park,2022,10,Police,11.58
Auburn Gresham,2022,12,Medical,10.5
Greater Grand Crossing,2023,6,Fire,10.54
West Englewood,2019,5,Medical,14.34
Near West Side,2020,10,Police,8.35
Loop,2023,2,Medical,4.73
North Lawndale,2021,11,Police,15.58
Morgan Park,2021,12,Medical,7.01
Humboldt Park,2021,3,Police,12.56
West Town,2020,11,Police,13.27
Pullman,2023,11,Medical,4.94
Rogers Park,2020,3,Police,12.33
Uptown,2024,4,Medical,8.73
Austin,2021,3,Medical,8.38
Grand Boulevard,2022,7,Fire,4.69
Portage Park,2023,6,Fire,8.06
Irving Park,2022,8,Medical,7.57
Albany Park,2023,2,Medical,7.1
West Pullman,2021,2,Medical,7.12
Austin,2022,1,Police,9.16
Edison Park,2022,5,Medical,3.5
Beverly,2023,7,Medical,7.72
Irving Park,2024,9,Police,11.42
Kenwood,2024,5,Police,7.66
South Shore,2022,11,Medical,11.55
Edison Park,2022,11,Medical,9.33
South Shore,2021,1,Medical,10.19
Greater Grand Crossing,2023,3,Police,10.71
Hyde Park,2023,8,Medical,6.28
Edison Park,2019,3,Medical,4.25
South Shore,2023,7,Medical,10.91
South Shore,2021,10,Fire,13.06
Auburn Gresham,2022,3,Medical,7.8
Morgan Park,2019,2,Police,20.42
Greater Grand Crossing,2022,12,Fire,7.56
Woodlawn,2023,10,Police,7.24
West Garfield Park,2020,6,Police,9.18
Jefferson Park,2022,2,Fire,8.43
Riverdale,2024,10,Medical,10.9
Loop,2023,5,Police,6.68
Logan Square,2024,5,Police,11.94
South Shore,2021,5,Fire,11.55
Chatham,2024,6,Medical,12.91
Logan Square,2023,3,Police,8.31
West Englewood,2019,10,Medical,8.24
Lincoln Park,2024,5,Medical,2.8
North Lawndale,2020,8,Police,12.64
Lake View,2020,4,Police,5.01
Washington Park,2020,5,Police,8.94
West Ridge,2024,1,Police,8.22
Albany Park,2021,1,Medical,10.55
Roseland,2020,8,Fire,7.01
Lake View,2022,2,Medical,9.7
Riverdale,2021,10,Police,12.97
Rogers Park,2023,10,Fire,15.25
North Lawndale,2019,7,Police,11.3
West Pullman,2021,7,Medical,9.47
Portage Park,2019,11,Police,7.57
Near South Side,2021,9,Police,11.27
Hyde Park,2023,1,Police,10.27
Washington Park,2019,2,Medical,6.7
Douglas,2021,1,Police,9.72
Woodlawn,2019,1,Police,13.02
Logan Square,2020,11,Medical,9.04
Riverdale,2020,4,Police,13.94
Englewood,2024,8,Medical,10.03
Morgan Park,2020,10,Police,17.14
West Englewood,2022,8,Police,6.69
Rogers Park,2020,12,Police,10.65
Near South Side,2020,12,Medical,5.42
Lincoln Park,2023,11,Medical,4.52
South Shore,2019,9,Medical,8.04
West Garfield Park,2019,2,Police,9.98
Lake View,2020,7,Medical,4.05
Pullman,2019,12,Fire,8.3
Lake View,2021,4,Police,8.21
Beverly,2024,3,Fire,6.03
Uptown,2020,12,Police,13.89
Grand Boulevard,2024,4,Fire,9.66
Auburn Gresham,2020,4,Fire,12.28
Auburn Gresham,2022,3,Police,13.02
Albany Park,2024,9,Police,9.01
Albany Park,2021,8,Medical,6.6
Near West Side,2020,12,Medical,10.5
West Garfield Park,2020,10,Police,10.96
Near South Side,2019,12,Medical,7.4
Humboldt Park,2020,12,Medical,14.65
Jefferson Park,2024,2,Fire,11.06
Rogers Park,2024,3,Police,5.81
Logan Square,2020,10,Medical,9.89
Lincoln Square,2020,7,Medical,10.32
Rogers Park,2020,5,Police,8.05
Mount Greenwood,2022,1,Fire,10.98
West Pullman,2021,1,Medical,5.29
Englewood,2024,12,Police,14.37
South Shore,2022,8,Fire,8.18
Pullman,2019,6,Police,6.38
Edison Park,2023,4,Medical,9.64
Washington Heights,2020,3,Police,10.39
Hyde Park,2024,9,Medical,5.34
Englewood,2019,9,Police,10.78
Uptown,2024,12,Medical,7.87
Irving Park,2023,4,Fire,7.21
Rogers Park,2020,11,Fire,10.89
Lake View,2024,8,Medical,6.32
Roseland,2020,4,Medical,12.91
Roseland,2023,8,Medical,8.92
West Garfield Park,2022,7,Police,12.65
Grand Boulevard,2023,12,Police,13.47
West Town,2023,6,Medical,12.01
Auburn Gresham,2024,7,Fire,11.1
Near South Side,2021,6,Medical,7.39
Humboldt Park,2020,11,Medical,8.52
West Ridge,2024,12,Police,12.33
Portage Park,2020,6,Medical,8.52
Washington Heights,2022,7,Medical,6.11
Beverly,2022,4,Police,8.13
Englewood,2021,12,Medical,7.38
Beverly,2021,5,Fire,4.71
Englewood,2021,9,Police,7.47
North Lawndale,2022,2,Fire,10.08
Roseland,2023,9,Police,11.52
West Town,2024,5,Medical,9.7
Woodlawn,2020,10,Medical,10.27
Englewood,2020,1,Police,11.79
Beverly,2024,11,Medical,6.08
Riverdale,2019,7,Fire,11.78
Kenwood,2022,5,Fire,12.94
West Town,2022,3,Police,7.41
Roseland,2021,3,Medical,7.42
West Garfield Park,2024,1,Police,11.64
Lake View,2019,7,Police,7.84
Chatham,2019,2,Medical,10.35
Lincoln Square,2022,8,Medical,7.76
Albany Park,2021,4,Medical,9.46
West Garfield Park,2020,4,Medical,6.76
Albany Park,2021,11,Police,8.98
West Garfield Park,2020,5,Police,14.39
Loop,2022,9,Medical,4.9
Kenwood,2021,7,Police,8.94
Lake View,2019,3,Police,9.04
Englewood,2024,4,Police,12.12
Lincoln Park,2023,9,Medical,3.92
West Ridge,2019,1,Medical,7.02
Logan Square,2024,8,Police,7.45
Portage Park,2020,8,Police,11.35
Grand Boulevard,2022,7,Police,7.21
Austin,2021,6,Medical,9.37
Pullman,2022,7,Fire,13.28
Portage Park,2022,10,Medical,8.14
Austin,2020,4,Police,11.85
